dia_busqueda,origen,destino,hora_salida,hora_llegada,duracion,num_vuelo,aerolinea,cod_aerolinea,precio
2019-04-15,Barcelona,London Heathrow,2019-08-19T10:10:00,2019-08-19T11:35:00,145,7475,British Airways,BA,175.64
2019-04-15,Barcelona,London Gatwick,2019-08-19T19:40:00,2019-08-19T21:00:00,140,7828,Vueling Airlines,VY,89.45
2019-04-15,Barcelona,London Luton,2019-08-19T10:50:00,2019-08-19T12:15:00,145,2264,easyJet,EZY,116.68
2019-04-15,Barcelona,London Heathrow,2019-08-19T11:40:00,2019-08-19T13:05:00,145,7480,British Airways,BA,175.64
2019-04-15,Barcelona,London Gatwick,2019-08-19T12:35:00,2019-08-19T13:55:00,140,5254,Vueling Airlines,VY,151.93
2019-04-15,Barcelona,London Gatwick,2019-08-19T12:20:00,2019-08-19T13:50:00,150,8576,easyJet,EZY,145.3
2019-04-15,Barcelona,London Heathrow,2019-08-19T10:10:00,2019-08-19T11:35:00,145,473,British Airways,BA,171.67
2019-04-15,Barcelona,London Heathrow,2019-08-19T11:40:00,2019-08-19T13:05:00,145,479,British Airways,BA,171.67
2019-04-15,Barcelona,London Stansted,2019-08-19T14:20:00,2019-08-19T15:50:00,150,9015,Ryanair,FR,78.53
2019-04-15,Barcelona,London Heathrow,2019-08-19T18:20:00,2019-08-19T19:40:00,140,7482,British Airways,BA,175.64
2019-04-15,Barcelona,London Gatwick,2019-08-19T17:25:00,2019-08-19T18:45:00,140,5521,Vueling Airlines,VY,106.03
2019-04-15,Barcelona,London Luton,2019-08-19T16:35:00,2019-08-19T18:00:00,145,2266,easyJet,EZY,124.0
2019-04-15,Barcelona,London Gatwick,2019-08-19T18:00:00,2019-08-19T19:25:00,145,8580,easyJet,EZY,133.44
2019-04-15,Barcelona,London Heathrow,2019-08-19T13:35:00,2019-08-19T14:55:00,140,485,British Airways,BA,171.67
2019-04-15,Barcelona,London Gatwick,2019-08-19T19:40:00,2019-08-19T21:00:00,140,5552,Vueling Airlines,VY,106.03
2019-04-15,Barcelona,London Gatwick,2019-08-19T20:30:00,2019-08-19T21:55:00,145,8578,easyJet,EZY,136.63
2019-04-15,Barcelona,London Gatwick,2019-08-19T12:35:00,2019-08-19T13:55:00,140,7826,Vueling Airlines,VY,114.0
2019-04-15,Barcelona,London Gatwick,2019-08-19T07:10:00,2019-08-19T08:35:00,145,8570,easyJet,EZY,115.12
2019-04-15,Barcelona,London Heathrow,2019-08-19T20:05:00,2019-08-19T21:25:00,140,407,British Airways,BA,139.81
2019-04-15,Barcelona,London Heathrow,2019-08-19T20:35:00,2019-08-19T21:50:00,135,7487,British Airways,BA,143.66
2019-04-15,Barcelona,London Heathrow,2019-08-19T13:35:00,2019-08-19T14:55:00,140,7485,British Airways,BA,175.64
2019-04-15,Barcelona,London Gatwick,2019-08-19T19:40:00,2019-08-19T21:00:00,140,8074,Vueling Airlines,VY,100.9
2019-04-15,Barcelona,London Gatwick,2019-08-19T07:05:00,2019-08-19T08:25:00,140,7834,Vueling Airlines,VY,114.0
2019-04-15,Barcelona,London Gatwick,2019-08-19T07:05:00,2019-08-19T08:25:00,140,5047,Vueling Airlines,VY,151.93
2019-04-15,Barcelona,London Heathrow,2019-08-19T07:10:00,2019-08-19T08:35:00,145,477,British Airways,BA,171.67
2019-04-15,Barcelona,London Heathrow,2019-08-19T18:20:00,2019-08-19T19:40:00,140,481,British Airways,BA,171.67
2019-04-15,Barcelona,London Heathrow,2019-08-19T14:50:00,2019-08-19T16:10:00,140,7477,British Airways,BA,175.64
2019-04-15,Barcelona,London Gatwick,2019-08-19T19:00:00,2019-08-19T20:20:00,140,5118,Vueling Airlines,VY,106.03
2019-04-15,Barcelona,London Heathrow,2019-08-19T07:10:00,2019-08-19T08:35:00,145,7478,British Airways,BA,175.64
